id,short_name,long_name,shape_id,route_id1,proof_of_payment,ft_mode,vehicle_name,route_id
366,MK373,373 AURVL-15TH-UW,210366,1373,0,premium_bus,premium_bus1,2_1373
736,KT012,12 SILVERDLE WEST,210736,4012,0,local_bus,llocal_bus1,2_4012
148,MK067,67 NORTHGTE TC-UW,210148,1067,0,local_bus,llocal_bus1,2_1067
593,PT409,409 PUYALP-SUMNER,210593,2409,0,local_bus,llocal_bus1,2_2409
673,ET018,18 Mukilteo-Evert S*,210673,7018,0,local_bus,llocal_bus1,2_7018
521,CT119,Meadowdale-LynwoodTC,210521,3119,0,local_bus,llocal_bus1,2_3119
300,MK230,230 KNGSG-BTC-RED,210300,1230,0,local_bus,llocal_bus1,2_1230
553,ST586,586 Tacoma-UDist,210553,6586,0,premium_bus,premium_bus1,2_6586
2,MK001,1 KINNEAR-SEA CBD,210002,1001,0,local_bus,llocal_bus1,2_1001
326,MK249,249 BEL-OVRLK-RDM,210326,1249,0,local_bus,llocal_bus1,2_1249
579,PT048,48 SHERIDAN-M ST ,210579,2048,0,local_bus,llocal_bus1,2_2048
687,ET701,ET701,210687,7701,0,local_bus,llocal_bus1,2_7701
322,MK248,248 Avondl-Redmnd T*,210322,1248,0,local_bus,llocal_bus1,2_1248
290,MK213,213 N MERCER ISLN,210290,1213,0,local_bus,llocal_bus1,2_1213
507,CT201,SmokeyPoint-Lynwood*,210507,3201,0,premium_bus,premium_bus1,2_3201
425,MK901,901 MIR LK-FED TC,210425,1901,0,local_bus,llocal_bus1,2_1901
636,PT011,11 POINT DEFIANCE,210636,2011,0,local_bus,llocal_bus1,2_2011
357,MK348,348 RICH BCH-NGTE,210357,1348,0,local_bus,llocal_bus1,2_1348
213,MK125,125 SHWD-WTCT-SEA,210213,1125,0,local_bus,llocal_bus1,2_1125
49,MK014,14 SUMMIT-MT BAKR,210049,1014,0,local_bus,llocal_bus1,2_1014
345,MK312,MK312a,210345,1312,0,premium_bus,premium_bus1,2_1312
387,ST550,550 BELLVU-SEACBD,210387,6550,0,premium_bus,premium_bus1,2_6550
203,MK119,119 DCKTN-VSH HTS,210203,1119,0,local_bus,llocal_bus1,2_1119
562,PT055,55 TAC MALL-PRKLN,210562,2055,0,local_bus,llocal_bus1,2_2055
121,MK046,46 SHLSHL-BLRD-UW EB,210121,1046,0,local_bus,llocal_bus1,2_1046
490,CT275,275 MONR-EVT STN ,210490,3275,0,premium_bus,premium_bus1,2_3275
277,MK200,200 ISSAQ-N ISSAQ,210277,1200,0,local_bus,llocal_bus1,2_1200
705,KT021,21 PERRY AVENUE,210705,4021,0,local_bus,llocal_bus1,2_4021
619,PT212,212 STEILACOOM-P,210619,2212,0,local_bus,llocal_bus1,2_2212
243,MK153,153 KENT-RENTON NB,210243,1153,0,local_bus,llocal_bus1,2_1153
170,MK073,73 JCPK-I5-SEA EX,210170,1073,0,premium_bus,premium_bus1,2_1073
63,MK018,18 LOYAL HTS-SCBD,210063,1018,0,local_bus,llocal_bus1,2_1018
654,WFPDT,WSF PT DEFI-TAHLQ,210654,5004,0,ferry,ferry1,2_5004
434,MK913,913DART Kent Statio*,210434,1913,0,local_bus,llocal_bus1,2_1913
476,ST511,511 ASH WY-SEACBD,210476,6511,0,premium_bus,premium_bus1,2_6511
605,PT300,300 SO TACOMA WAY,210605,2300,0,local_bus,llocal_bus1,2_2300
342,MK272,272 EGT-CRSRDS-UW,210342,1272,0,local_bus,llocal_bus1,2_1272
156,MK071,71 WDG-I5-SCBD EX,210156,1071,0,premium_bus,premium_bus1,2_1071
533,CT110,110 LYNWD TC-EDMD,210533,3110,0,local_bus,llocal_bus1,2_3110
190,MK106,106 RNTN-SKY-SCBD,210190,1106,0,local_bus,llocal_bus1,2_1106
312,MK236,236 WOOD-KNGT-KRK,210312,1236,0,local_bus,llocal_bus1,2_1236
722,KT091,91 INDIANOLA-BAIN,210722,4091,0,premium_bus,premium_bus1,2_4091
17,MK004,4 E Q AN-JUDKN PK,210017,1004,0,local_bus,llocal_bus1,2_1004
453,MK927,927 SAMMISH-ISSQH,210453,1927,0,local_bus,llocal_bus1,2_1927
292,MK219,219 FACT-NEWCS CW SB,210292,1219,0,local_bus,llocal_bus1,2_1219
644,ST578,Puyallup-Seattle,210644,6578,0,premium_bus,premium_bus1,2_6578
132,MK053,53 W SEA CIRCL CW,210132,1053,0,local_bus,llocal_bus1,2_1053
541,PT061,61 NE TAC-BRWN PT,210541,2061,0,premium_bus,premium_bus1,2_2061
509,CT190,112 EDM CC-MKLTEO,210509,3190,0,local_bus,llocal_bus1,2_3190
638,PT100,100  Gig Harbor,210638,2100,0,local_bus,llocal_bus1,2_2100
59,MK017,17 LYLH-BLRD-SCBD,210059,1017,0,local_bus,llocal_bus1,2_1017
427,MK903,903 TWN LK-FED TC,210427,1903,0,local_bus,llocal_bus1,2_1903
741,KT037,37 FAIRGRNDS SHTL,210741,4037,0,local_bus,llocal_bus1,2_4037
469,CT701,701 Swift-Aurora-Ev*,210469,3701,0,premium_bus,premium_bus1,2_3701
598,PT406,406 BUCKLEY,210598,2406,0,local_bus,llocal_bus1,2_2406
24,MK007,7 RAIN BCH-SEACBD,210024,1007,0,local_bus,llocal_bus1,2_1007
82,MK027,27 COLMAN PK-SCBD,210082,1027,0,local_bus,llocal_bus1,2_1027
409,ST566,566 ISSAQ-NGATE EX**,210409,6566,0,premium_bus,premium_bus1,2_6566
305,MK230,230 KNGSG-BTC-RED,210305,1230,0,local_bus,llocal_bus1,2_1230
183,MK101,101 RENTN TC-SCBD,210183,1101,0,local_bus,llocal_bus1,2_1101
526,CT115,114 EDMDS-SLV FIR,210526,3115,0,local_bus,llocal_bus1,2_3115
570,PT052,52 TCC-TCOMA MALL,210570,2052,0,local_bus,llocal_bus1,2_2052
78,MK025,25 LRLHST-UW-SCBD,210078,1025,0,local_bus,llocal_bus1,2_1025
39,MK012,12 CAP HILL-SCBD ,210039,1012,0,local_bus,llocal_bus1,2_1012
692,ET009,9 AIRPORT RD-EVCC,210692,7009,0,local_bus,llocal_bus1,2_7009
698,KT011,11 CROSSTOWN LTD ,210698,4011,0,premium_bus,premium_bus1,2_4011
